State,Quality of life,Cost of housing,Public health,Crime,Taxes,Weather,Non-housing cost of living,Overall weighted and normalized score
New Hampshire,60,57,99.9,95,56,34,34,100
Utah,76,48,100,79,34,43,80,95
Minnesota,64,75,95,77,34,26,78,92
Connecticut,80,67,92,90,4,47,51,87
Colorado,76,44,96,57,55,36,79,86
Vermont,52,66,93,91,20,32,55,85
Maryland,96,64,83,60,41,59,62,82
Nebraska,56,86,77,69,39,43,92,81
North Dakota,56,86,75,70,63,25,80,79
Wisconsin,48,80,80,71,44,32,81,79
Virginia,72,69,72,86,30,60,78,78
Washington,76,39,88,75,46,39,53,77
Maine,44,66,76,100,31,29,55,72
Hawaii,100,0,91,80,16,100,0,72
Iowa,40,92,67,73,42,41,89,72
Florida,52,66,61,62,60,94,81,71
Oregon,68,51,77,75,45,41,62,70
Massachusetts,100,37,82,73,39,45,26,70
Rhode Island,72,59,70,83,40,49,53,69
Wyoming,44,73,61,83,74,27,89,69
Delaware,56,68,77,56,31,61,69,68
Idaho,36,58,71,82,46,32,84,65
South Dakota,44,80,66,46,66,35,94,62
Pennsylvania,60,85,60,61,47,46,76,62
Michigan,36,88,63,49,65,36,88,62
Indiana,32,89,55,66,58,51,88,61
New Jersey,96,51,59,88,24,55,68,59
North Carolina,40,76,57,57,53,67,86,59
Illinois,68,86,57,57,27,51,89,56
Ohio,40,91,47,73,52,50,84,55
Georgia,40,76,44,60,62,78,95,52
Arizona,48,61,57,48,57,68,76,52
Kentucky,16,94,42,79,56,60,75,52
Texas,40,79,44,54,65,80,90,51
South Carolina,36,81,49,42,62,75,82,50
Alabama,24,90,43,53,54,76,92,49
New York,92,57,65,65,0,38,59,46
Montana,40,57,64,50,48,28,76,44
Missouri,40,88,38,40,58,57,96,37
California,84,14,57,54,21,65,41,28
Alaska,52,71,57,0,100,0,5,26
Tennessee,28,78,33,23,73,64,97,26
Nevada,52,62,31,52,56,47,86,23
Oklahoma,20,94,16,52,61,67,98,21
New Mexico,12,80,37,8,50,55,89,13
Mississippi,0,97,0,75,54,77,100,12
Arkansas,12,94,20,23,50,69,92,11
West Virginia,16,100,3,66,54,52,87,9
Kansas,48,91,3,57,42,55,96,4
Louisiana,28,94,0,27,60,83,92,0